topic,tweetid,text
cnn,7.05E+17,"""#Cnn  #Aclu #AP #Un #Obama  95% he dosent know anybody but white people #Sanders This country is Not white .... """
cnn,7.05E+17,"""Advisers pushed TRUMP to turn #AntiWhite to appease #CNN @seanhannity  @AnnCoulter Let's see how far he gets with new #AntiWhite campaign. """
cnn,7.05E+17,"""#CNN: ""A coalition of #Sanders-aligned progressives and #Republicans have ratcheted up the pressure on #Clinton"" #BernieSanders dirty deeds. """
cnn,7.05E+17,"""#Hillary keeps on working for us. ONLY  candidate not at home tonight. Campaigning in Florida! #UniteBlue #cnn #msnbc  #SuperTuesday """
cnn,7.05E+17,"""#Cnn  #Aclu #AP #Un #Obama  he is notthe man for the Job justhold us back even further with his delusional sense of whiteentailment #Sanders """
cnn,7.05E+17,"""Reason to vote for Trump? Look at his kids. We need more like them in this country #Trump2016 _ª___ª_ô #SuperTuesday #FoxNews #cnn #FoxNews """
cnn,7.05E+17,"""Cover-Up: Rubio, Establishment Try to Bury _ÑÒRubio_Ñés Gay Past_Ñù Reports https://t.co/7V66kmQPMb via @rubio @trump #cnn """
cnn,7.05E+17,"""What they're not telling U on #CNN TV, but can be found on .com. #Hillary barely scrapes by, #Bernie crushes. #FTB16 https://t.co/ehMh3hf6Mx """
cnn,7.05E+17,"""#Cnn  #Aclu #AP #Un #Obama  theyare living in Vermont95% white one of the richest states in the countryand theydon't like outsiders #Sanders """
cnn,7.05E+17,"""#Cnn  #Aclu #AP #Un #Obama  or our children will not becompetitive95% that's pretend all the wayThey are not living in this country #Sanders """
cnn,7.05E+17,"""If #CNN can give a fair narrative #SuperTuesday then #FeelTheBern might have a shot oh wait #ImWithHer gives them $_ª_Ó https://t.co/0AgJ4EuQqQ """
